City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
5,Rikitea,PF,76.3,clear sky,-23.1203,-134.9692,People ThankYou
8,Hirara,JP,78.17,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
15,Eirunepe,BR,87.55,overcast clouds,-6.6603,-69.8736,Atrás de você
19,Jalu,LY,80.02,clear sky,29.0331,21.5482,صاحبة الفخامة
21,Sambava,MG,76.82,clear sky,-14.2667,50.1667,Melrose
23,Dingle,PH,78.51,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
27,Dong Hoi,VN,80.64,overcast clouds,17.4833,106.6,Nam Long Hotel
31,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
39,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
40,Jamestown,US,77.95,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
43,Porto Nacional,BR,89.6,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
46,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
49,Sao Felix Do Xingu,BR,87.42,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
53,Mattru,SL,80.67,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
54,Bethel,US,81.18,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
60,Najran,SA,86.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
61,Mabaruma,GY,85.73,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
62,Bengkulu,ID,79.29,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
64,Arraial Do Cabo,BR,78.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
66,Saint George,US,78.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
74,Lompoc,US,82.62,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
76,Atuona,PF,78.69,overcast clouds,-9.8,-139.0333,Villa Enata
81,Kavaratti,IN,81.59,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
84,Moroto,UG,75.6,scattered clouds,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
85,Cilegon,ID,80.94,broken clouds,-6.0174,106.0538,Forbis Hotel
90,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
92,Wanning,CN,79.3,broken clouds,18.8003,110.3967,Paradise Hotel
94,Sola,VU,79.54,overcast clouds,-13.8833,167.55,Leumerus Bungalows
95,Cabanas,CU,83.32,clear sky,22.9758,-82.9219,Villa Luis Montesino y Anabel
97,Limon,CR,84.09,scattered clouds,10.0,-83.0333,Hotel Playa Bonita
98,Bontang,ID,77.99,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
100,Hithadhoo,MV,83.3,broken clouds,-0.6,73.0833,Scoop Guest House
101,La Piedad,MX,88.11,few clouds,20.35,-102.0,Hotel San José
105,Epe,NG,84.67,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
109,Cururupu,BR,86.9,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
111,Fremont,US,75.2,clear sky,37.5483,-121.9886,Best Western Plus Garden Court Inn
113,Deming,US,83.21,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
116,Puerto Leguizamo,CO,78.75,overcast clouds,-0.1934,-74.7819,la casona de juancho
120,Faya,SA,77.11,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
121,Lorengau,PG,80.98,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
122,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
124,Gizo,SB,81.3,scattered clouds,-8.103,156.8419,Imagination Island
127,Butaritari,KI,80.51,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
130,Nouadhibou,MR,85.98,overcast clouds,20.931,-17.0347,El Medina
131,Banjar,ID,78.01,broken clouds,-8.19,114.9675,The Hamsa Resort
135,Sandakan,MY,78.48,few clouds,5.8402,118.1179,Hotel Sandakan
138,Avarua,CK,76.64,moderate rain,-21.2078,-159.775,Paradise Inn
139,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Central
142,Sao Filipe,CV,78.35,broken clouds,14.8961,-24.4956,Hotel Xaguate
155,Hobyo,SO,81.73,broken clouds,5.3505,48.5268,Iftin hotel hobyo
156,Belmonte,BR,77.18,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
158,Rabaul,PG,78.64,few clouds,-4.1967,152.1721,Rabaul Hotel
159,Cabo San Lucas,MX,85.6,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
163,San Policarpo,PH,81.5,light rain,12.1791,125.5072,Agapita M. Nicart
165,Kindu,CD,78.19,broken clouds,-2.95,25.95,Résidence Okanda
166,Hamilton,US,84.88,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
173,The Valley,AI,84.09,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
177,Oeiras Do Para,BR,84.52,broken clouds,-2.0031,-49.8544,Araticu Soft Hotel
180,San Andres,CO,81.34,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
184,Catuday,PH,82.8,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
186,Dumas,US,84.61,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
189,Ponta Do Sol,PT,75.7,clear sky,32.6667,-17.1,Hotel do Campo
196,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
199,Shelburne,CA,78.3,clear sky,44.0787,-80.2041,The Retreat at the Farm
200,Champasak,LA,76.12,heavy intensity rain,14.75,106.0,Kiat Ngong Wetland BUNGALOW
205,Eyl,SO,83.5,broken clouds,7.9803,49.8164,Amiin Hotel
210,Balikpapan,ID,79.79,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
214,Kapoeta,SS,88.66,few clouds,4.7717,33.5903,Eastgate Hotel
216,Tarakan,ID,79.63,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
223,Nouakchott,MR,89.74,overcast clouds,18.0858,-15.9785,HOTEL IMAN
225,Sinnamary,GF,81.95,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
226,Conceicao Da Barra,BR,78.96,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
235,Harindanga,IN,84.67,overcast clouds,22.0383,88.3214,Hasanur Builders
236,Merrill,US,77.81,clear sky,45.1805,-89.6835,Prairie Motel
238,Candelaria,PH,79.39,overcast clouds,13.9311,121.4233,Casa de Provincia
240,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
244,Sokoni,TZ,80.71,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
247,Caracal,RO,79.79,broken clouds,44.1167,24.35,Romanita Hotel
250,Mahibadhoo,MV,83.14,overcast clouds,3.7833,72.9667,Omadhoo Inn
252,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
253,Mathbaria,BD,83.48,overcast clouds,22.2876,89.9593,Shikdar Hotel
258,Itarema,BR,83.14,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
262,Sao Geraldo Do Araguaia,BR,86.14,broken clouds,-6.4006,-48.555,Hotel Por do Sol
263,Okmulgee,US,85.08,clear sky,35.6234,-95.9605,"Holiday Inn Express & Suites Okmulgee, an IHG Hotel"
264,Kutum,SD,89.15,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
269,Kieta,PG,76.93,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
273,Kilinochchi,LK,81.9,overcast clouds,9.3961,80.3982,Solaivanam Guest House
274,Kavieng,PG,81.55,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
277,Gambela,ET,76.66,moderate rain,8.25,34.5833,Solomon Debebe Hotel
278,Soyo,AO,78.57,few clouds,-6.1349,12.3689,Hotel Mpampa
280,Antiguo Morelos,MX,86.45,broken clouds,22.5495,-99.0812,Iglesia La luz del mundo columna y apoyo de la verdad. Batallón antiguo morelos
283,Touros,BR,84.81,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
285,Kirakira,SB,78.66,clear sky,-10.4544,161.9205,SanBiz Lodge
287,Sur,OM,84.81,clear sky,22.5667,59.5289,Sur Plaza Hotel
288,San Patricio,US,89.55,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
295,Jashpurnagar,IN,85.21,overcast clouds,22.9,84.15,Sagar Restaurant
298,Vung Tau,VN,84.0,broken clouds,10.346,107.0843,Seaside Resort
303,Santa Cruz,BO,85.12,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
305,Saint Anthony,US,75.25,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
306,Manokwari,ID,79.12,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
307,Axim,GH,83.19,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
311,Nantucket,US,78.91,overcast clouds,41.2835,-70.0995,Jared Coffin House
312,Tautira,PF,79.88,clear sky,-17.7333,-149.15,Pension Oaoa
314,Sacramento,US,79.93,clear sky,38.4666,-121.3177,Manda’s House
319,Marovoay,MG,77.22,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
336,Puerto Baquerizo Moreno,EC,79.79,broken clouds,-0.9,-89.6,Hotel los Algarrobos
338,Kahului,US,76.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
340,Pakxan,LA,78.17,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
342,Alepe,CI,84.07,overcast clouds,5.5004,-3.6631,BENENE 1
346,Camopi,GF,83.32,overcast clouds,3.1655,-52.3158,La pousada
348,Padang,ID,79.52,scattered clouds,-0.9492,100.3543,Mercure Padang
349,Nhamunda,BR,86.14,light rain,-2.1861,-56.7131,Pousada Da Praia
351,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
355,Meadow Lake,US,79.95,clear sky,34.8014,-106.5436,TumbleWeed RV Park
356,Chicaman,GT,76.32,broken clouds,15.4,-90.7667,"Las Pacayas, Uspantan El Quiché"
358,Millinocket,US,87.91,clear sky,45.6573,-68.7098,Katahdin Inn & Suites
366,Salalah,OM,86.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
373,Cajimos,PH,81.93,broken clouds,12.5946,122.2753,Tiamban Aqua Club Beach Resort
374,Bambanglipuro,ID,79.03,overcast clouds,-7.95,110.2833,Puri Brata
384,Selma,US,77.18,clear sky,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
385,Namatanai,PG,77.99,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
387,Diego De Almagro,CL,75.4,clear sky,-26.3667,-70.05,hotel luna del desierto
