City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Longyearbyen,SJ,78.2186,15.6401,30.04,64,75,3.44,broken clouds
1,Kiama,AU,-34.6833,150.8667,68.38,92,30,1.99,scattered clouds
2,Pisco,PE,-13.7,-76.2167,66.25,77,40,9.22,mist
3,Port Elizabeth,ZA,-33.918,25.5701,61.32,83,20,3.44,few clouds
4,Busselton,AU,-33.65,115.3333,58.5,67,85,11.23,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,76.3,68,0,23.64,clear sky
6,Ushuaia,AR,-54.8,-68.3,44.22,87,20,6.91,few clouds
7,Port Alfred,ZA,-33.5906,26.891,57.18,89,45,1.01,scattered clouds
8,Hirara,JP,24.8,125.2833,78.17,85,100,13.13,light rain
9,Thompson,CA,55.7435,-97.8558,37.56,100,100,13.8,mist
10,Barrow,US,71.2906,-156.7887,19.47,98,92,10.92,overcast clouds
11,Svetlogorsk,BY,52.6333,29.7333,52.39,83,88,7.11,overcast clouds
12,Hobart,AU,-42.8794,147.3294,58.86,75,82,8.05,broken clouds
13,Kiruna,SE,67.8557,20.2251,40.12,93,100,4.61,light rain
14,Terme,TR,41.2092,36.9739,59.68,77,12,4.59,few clouds
15,Eirunepe,BR,-6.6603,-69.8736,87.55,65,100,2.77,overcast clouds
16,New Norfolk,AU,-42.7826,147.0587,58.5,73,80,7.0,broken clouds
17,Airai,TL,-8.9266,125.4092,61.75,96,77,0.94,broken clouds
18,Eslov,SE,55.8393,13.3039,56.26,67,34,17.09,scattered clouds
19,Jalu,LY,29.0331,21.5482,80.02,23,0,12.28,clear sky
20,Mataura,NZ,-46.1927,168.8643,43.48,91,100,2.37,overcast clouds
21,Sambava,MG,-14.2667,50.1667,76.82,70,0,16.82,clear sky
22,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,40,0,10.36,clear sky
23,Dingle,PH,10.9995,122.6711,78.51,86,84,1.57,broken clouds
24,Kapaa,US,22.0752,-159.319,73.38,93,79,1.99,light rain
25,Te Anau,NZ,-45.4167,167.7167,48.6,94,100,0.4,overcast clouds
26,Fortuna,US,40.5982,-124.1573,69.93,82,76,1.01,broken clouds
27,Dong Hoi,VN,17.4833,106.6,80.64,84,92,4.85,overcast clouds
28,Mayo,US,38.8876,-76.5119,70.16,94,100,5.75,light rain
29,Mar Del Plata,AR,-38.0023,-57.5575,61.95,42,0,9.22,clear sky
30,Chuy,UY,-33.6971,-53.4616,65.75,63,44,7.38,scattered clouds
31,Souillac,MU,-20.5167,57.5167,75.58,73,75,6.91,broken clouds
32,Chokurdakh,RU,70.6333,147.9167,6.98,97,99,3.94,overcast clouds
33,Bredasdorp,ZA,-34.5322,20.0403,56.73,72,67,3.89,broken clouds
