City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2022-05-08 01:52:34,19.7297,-155.09,85.28,83,100,12.66
1,Tuktoyaktuk,CA,2022-05-08 01:56:56,69.4541,-133.0374,35.6,80,20,14.97
2,Tari,NG,2022-05-08 01:56:57,12.4086,4.4914,89.65,43,89,13.47
3,Bluff,NZ,2022-05-08 01:56:57,-46.6,168.3333,58.8,92,100,5.26
4,New Norfolk,AU,2022-05-08 01:56:58,-42.7826,147.0587,59.72,56,92,3.83
5,Ushuaia,AR,2022-05-08 01:56:59,-54.8,-68.3,47.86,46,20,17.27
6,Busselton,AU,2022-05-08 01:56:59,-33.65,115.3333,66.11,60,47,5.14
7,Mutoko,ZW,2022-05-08 01:57:00,-17.397,32.2268,58.01,82,10,1.48
8,Meulaboh,ID,2022-05-08 01:57:01,4.1363,96.1285,77.61,89,100,5.26
9,De Aar,ZA,2022-05-08 01:57:01,-30.6497,24.0123,49.05,87,2,13.8
10,Saldanha,ZA,2022-05-08 01:57:02,-33.0117,17.9442,50.05,84,0,14.05
11,Coahuayana,MX,2022-05-08 01:56:09,18.7333,-103.6833,73.47,84,70,2.77
12,Victoria,HK,2022-05-08 01:57:03,22.2855,114.1577,82.18,60,84,8.99
13,Atuona,PF,2022-05-08 01:57:04,-9.8,-139.0333,78.94,73,55,15.88
14,Kortkeros,RU,2022-05-08 01:57:04,61.8106,51.5806,46.4,75,20,9.48
15,Flinders,AU,2022-05-08 01:57:05,-34.5833,150.8552,71.06,52,0,8.99
16,Punta Arenas,CL,2022-05-08 01:57:05,-53.15,-70.9167,46.51,66,20,25.32
17,Ambulu,ID,2022-05-08 01:57:06,-8.345,113.6058,84.25,75,99,0.78
18,Petaling Jaya,MY,2022-05-08 01:57:07,3.1073,101.6067,82.11,83,20,2.3
19,Jamestown,US,2022-05-08 01:57:07,42.097,-79.2353,47.52,79,2,7.34
20,Hobart,AU,2022-05-08 01:54:28,-42.8794,147.3294,60.06,61,75,14.97
21,Kodiak,US,2022-05-08 01:57:08,57.79,-152.4072,49.6,57,8,11.92
22,Fairbanks,US,2022-05-08 01:57:09,64.8378,-147.7164,48.22,81,100,3.44
23,Longyearbyen,SJ,2022-05-08 01:57:09,78.2186,15.6401,12.04,57,20,11.5
24,Hermanus,ZA,2022-05-08 01:53:24,-34.4187,19.2345,58.42,81,100,4.34
25,Antalaha,MG,2022-05-08 01:57:10,-14.9003,50.2788,73.47,91,47,5.26
26,Chuy,UY,2022-05-08 01:57:11,-33.6971,-53.4616,56.7,84,3,4.65
27,Butaritari,KI,2022-05-08 01:57:12,3.0707,172.7902,82.15,75,16,16.26
28,Cayenne,GF,2022-05-08 01:55:15,4.9333,-52.3333,81.09,1,0,3.44
29,Mahebourg,MU,2022-05-08 01:57:12,-20.4081,57.7,75.25,88,75,6.91
30,Belyy Yar,RU,2022-05-08 01:57:13,53.6039,91.3903,44.85,33,0,13.42
31,Constitucion,CL,2022-05-08 01:57:14,-35.3333,-72.4167,53.74,79,0,9.1
32,Port Alfred,ZA,2022-05-08 01:57:14,-33.5906,26.891,58.17,86,99,4.0
33,Rikitea,PF,2022-05-08 01:57:15,-23.1203,-134.9692,77.54,81,11,15.88
34,Puerto Escondido,MX,2022-05-08 01:57:16,15.85,-97.0667,82.17,62,96,3.31
35,Batetskiy,RU,2022-05-08 01:57:16,58.6461,30.3027,44.08,93,100,9.48
36,Osmena,PH,2022-05-08 01:57:17,10.5208,119.9258,85.23,74,31,14.18
37,Sahuaripa,MX,2022-05-08 01:57:18,29.05,-109.2333,86.07,16,4,11.45
38,Kaspiysk,RU,2022-05-08 01:57:18,42.8816,47.6392,50.23,93,100,15.99
39,Auki,SB,2022-05-08 01:57:19,-8.7676,160.7034,85.17,70,45,3.58
40,Palmer,US,2022-05-08 01:57:19,42.1584,-72.3287,47.59,39,100,4.0
41,Port Elizabeth,ZA,2022-05-08 01:57:20,-33.918,25.5701,59.31,78,0,5.75
42,Pastavy,BY,2022-05-08 01:57:21,55.1168,26.8326,50.11,94,100,7.99
43,Upernavik,GL,2022-05-08 01:57:21,72.7868,-56.1549,5.61,85,15,5.68
44,Maumere,ID,2022-05-08 01:57:22,-8.6199,122.2111,86.54,64,30,5.5
45,Georgetown,MY,2022-05-08 01:56:43,5.4112,100.3354,85.95,75,20,10.36
